method,candidate_count,chrono_audits,best_verified_reward,verified_pass_rate,cad_pass_rate,chrono_real_geometry_rate,lockup_rate,best_id,best_fast_reward,best_out_omega_med,best_ratio_error_pct,best_power_balance_error_pct,best_torque_ripple_pct,adapter_updates,trained_tokens
seed,1,1,0.0,0.0,1.0,1.0,1.0,current_seed,78.379423,0.004249482998836857,26046.971559016423,99.46955314140327,1850.4731979977034,0,0
random,8,8,0.0,0.0,1.0,1.0,0.75,random_001,74.802793,1.3316403831554615,24.904650486012212,79.228941151253,1793.7710691503692,0,0
cma_es_fast_only,8,8,0.0,0.0,1.0,1.0,1.0,cma_fast_004,88.278388,0.013851684003334513,7921.487573955872,99.37825644188713,954.000197780983,0,0
verifier_gated,8,8,65.371106,0.375,1.0,1.0,0.375,vg_refine_strict_ecc_202,75.647534,1.1930474912017606,16.181039952341152,49.98153091375153,808.519044236096,0,0
llm_evolve_no_update,368,160,0.0,0.0,0.434783,0.434783,0.975,g000_043_driver_circle_step,88.948149,0.036330633702382785,2958.3312149554877,98.602831689446,957.8830083360666,0,0
mechanical_evolve_ttrl,422,159,67.744787,0.052133,0.376777,0.376777,0.603774,mechanical_evolve_ttrl_006,75.838243,1.05961795739004,5.626363442998432,66.41703513333415,393.9249032109616,5,1762
